"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer"
"m79984441764","2023-09-14","","2023-09-22","Off-White hoodie","Completed","Colorado","Georgia","83.00","7.40","0.00","8.30","3.12","0.00","71.58","6.34","0.00"
"m46247123311","2023-09-21","","2023-09-22","Louis Vuitton monogram wallet","Completed","Georgia","Georgia","280.00","7.40","0.00","28.00","8.83","0.00","243.17","17.24","0.00"
"b75754516477","2023-09-18","","2023-09-22","Bundle for hamwie","Completed","California","Georgia","20.00","4.99","0.00","2.00","1.22","0.00","16.78","1.58","0.00"
"m43066526931","2023-09-19","","2023-09-24","MCM DUST BAG","Completed","California","Georgia","12.00","4.99","0.00","1.20","0.99","0.00","9.81","1.23","0.00"
"m86626934904","2023-09-21","","2023-09-24","T3 dryer Model 73873","Completed","Missouri","Georgia","20.00","9.50","0.00","2.00","1.36","0.00","16.64","2.19","0.00"
"m69481045774","2023-09-16","","2023-09-24","Aritzia Sunday best cardigan","Completed","California","Georgia","28.00","9.50","0.00","2.80","1.59","0.00","23.61","2.87","0.00"
"m24451107691","2023-09-21","","2023-09-25","Zara linen blazer","Completed","Texas","Georgia","10.00","7.40","0.00","1.00","1.00","0.00","8.00","1.44","0.00"
"m76755197178","2023-09-19","","2023-09-25","essie nail polish bundle","Completed","Ohio","Georgia","13.00","7.40","0.00","1.30","1.09","0.00","10.61","1.53","0.00"
"m45082631534","2023-09-19","","2023-09-25","tory Burch leather bracelet","Completed","California","Georgia","18.00","4.30","0.00","1.80","1.15","0.00","15.05","1.40","0.00"
"b85992443713","2023-09-22","","2023-09-25","Bundle for SammiBobbins","Completed","California","Georgia","100.00","7.40","0.00","10.00","3.61","0.00","86.39","7.75","0.00"
"m42976768047","2023-09-22","","2023-09-28","Sunday best Aritzia plaid wide leg pants","Completed","Texas","Georgia","30.00","7.40","0.00","3.00","1.58","0.00","25.42","3.09","0.00"
"m76949187109","2023-09-26","","2023-09-29","tower28 lipstick gloss","Completed","Texas","Georgia","15.00","4.30","0.00","1.50","1.06","0.00","12.44","1.21","0.00"
"m98814013326","2023-09-27","","2023-09-30","Kylie cosmetics Sister sister lipstick and lip liner","Completed","Indiana","Georgia","15.00","4.30","0.00","1.50","1.06","0.00","12.44","1.35","0.00"
"m51277289197","2023-09-25","","2023-09-30","Gucci envolop","Completed","New Jersey","Georgia","20.00","7.40","0.00","2.00","1.29","0.00","16.71","1.82","0.00"
